dataset,capacity_percent,metric,variant_a,variant_b,mean_delta,median_delta,bootstrap_ci95_low,bootstrap_ci95_high,n_paired_slots,seed
wiki2018,4.0,pollution_proxy,full_cap020,precision_only_budget_matched_uniform_cap020,-0.0008307905855780745,0.0,-0.0017532926140259037,-7.675186255250155e-05,88,42
wiki2018,4.0,admission_precision,full_cap020,precision_only_budget_matched_uniform_cap020,5.048490763203091e-05,0.0,-0.00020475453168437637,0.00028452895377715733,89,42
wiki2018,4.0,selected_admissions_per_slot,full_cap020,precision_only_budget_matched_uniform_cap020,-10.044444444444444,0.0,-44.48888888888889,9.411111111111111,90,42
wiki2018,4.0,slot_hit_ratio,full_cap020,precision_only_budget_matched_random_cap020,-0.00027811111111110306,-4.999999999999449e-05,-0.00041088888888887054,-0.00015966666666665673,90,42
wiki2018,4.0,admission_hit_yield,full_cap020,precision_only_budget_matched_random_cap020,-0.9051999624926806,0.0006298101769248304,-2.7251715560506424,0.0063334268242039105,90,42
wiki2018,4.0,pollution_proxy,full_cap020,precision_only_budget_matched_random_cap020,-0.001184682057767903,0.0,-0.002237668065884588,-0.0002829561580303974,87,42
wiki2018,4.0,admission_precision,full_cap020,precision_only_budget_matched_random_cap020,0.00032375580844091117,0.0,2.4584976896042457e-05,0.0006060081768531754,88,42
wiki2018,4.0,selected_admissions_per_slot,full_cap020,precision_only_budget_matched_random_cap020,-1.0222222222222221,0.0,-44.91111111111111,34.48888888888889,90,42
wiki2018,4.0,slot_hit_ratio,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,4.0,admission_hit_yield,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,4.0,pollution_proxy,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,88,42
wiki2018,4.0,admission_precision,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,89,42
wiki2018,4.0,selected_admissions_per_slot,full_cap020,precision_only_budget_replay_cap020,0.0,0.0,0.0,0.0,90,42
wiki2018,4.0,slot_hit_ratio,full_cap020,precision_only_budget_replay_permuted_cap020,0.035146555555555556,0.024729999999999974,0.028259555555555562,0.04258688888888888,90,42
wiki2018,4.0,admission_hit_yield,full_cap020,precision_only_budget_replay_permuted_cap020,-0.85612084009074,-0.06467719973673663,-1.715333213655543,-0.24778554934490782,90,42
wiki2018,4.0,pollution_proxy,full_cap020,precision_only_budget_replay_permuted_cap020,0.09401561680841947,0.04151827161089022,0.06775860566404118,0.12289049176709822,88,42
wiki2018,4.0,admission_precision,full_cap020,precision_only_budget_replay_permuted_cap020,-0.03259013026854384,-0.006689041201551987,-0.051684383307036626,-0.01806989173232611,89,42
wiki2018,4.0,selected_admissions_per_slot,full_cap020,precision_only_budget_replay_permuted_cap020,0.0,-5.0,-569.1777777777778,595.1111111111111,90,42
wiki2018,4.0,slot_hit_ratio,precision_only_cap020,cap_only_cap020,0.00036133333333332403,6.499999999998174e-05,-7.566666666667512e-05,0.0008210000000000013,90,42
wiki2018,4.0,admission_hit_yield,precision_only_cap020,cap_only_cap020,-0.032601985145367635,-0.000559910414333703,-0.10837691098772423,0.015827185961261966,90,42
wiki2018,4.0,pollution_proxy,precision_only_cap020,cap_only_cap020,0.002991744366659326,0.0011505005570566773,-0.001281749650039213,0.007919886762815418,88,42
