dataset,capacity_percent,cache_size_objects,variant,hit_ratio,delta_hr_vs_full_cap020,total_selected_admissions,delta_selected_vs_full_cap020,selected_match_ratio_vs_full_cap020,admissions_per_1000_requests,hit_yield_per_admission,pollution_ratio,admission_precision,budget_match_mode,budget_match_multiplier,budget_replay_enabled,budget_replay_permuted,budget_replay_exact_slot_match_rate,budget_replay_clamp_rate,offline_diagnostic_control
wiki2018,3.0,60463,precision_only_budget_matched_uniform_cap020,0.5626124444444445,0.00012755555555554743,122020.0,-1233.0,0.9899961867053946,13.557777777777778,0.5465043386452869,0.6477943845062523,0.07623973077303771,uniform,1.0161340852130325,False,False,,,False
wiki2018,3.0,60463,precision_only_budget_replay_cap020,0.5624848888888889,0.0,123253.0,0.0,1.0,13.694777777777778,0.5423984845144486,0.6490458809984567,0.07538234165380626,slot_replay,1.0161340852130325,True,False,1.0,0.0,True
wiki2018,3.0,60463,precision_only_budget_replay_permuted_cap020,0.5358782222222223,-0.026606666666666667,123253.0,0.0,1.0,13.694777777777778,0.5517672332813278,0.6534801467044591,0.07314801957148576,slot_replay_permuted,1.0161340852130325,True,True,1.0,0.0,True
wiki2018,3.0,60463,precision_only_cap020,0.562464,-2.0888888888959123e-05,121296.0,-1957.0,0.9841220903345151,13.477333333333334,0.5489494822092406,0.6468650424853957,0.07646541423260754,off,1.0,,,,,
wiki2018,4.0,80617,full_cap020,0.5865971111111111,0.0,136783.0,0.0,1.0,15.19811111111111,0.48236599923554146,0.6834259504278027,0.06605951015847814,off,1.0,,,,,
wiki2018,4.0,80617,precision_only_budget_matched_permuted_quality_cap020,0.5865544444444445,-4.266666666663532e-05,135318.0,-1465.0,0.9892896047023387,15.035333333333334,0.48671040801313725,0.6817928502961086,0.06680091247520044,off,1.0,,,,,
wiki2018,4.0,80617,precision_only_budget_matched_random_cap020,0.5868752222222222,0.0002781111111110901,136875.0,92.0,1.0006725982029931,15.208333333333334,0.479262100456621,0.685048401826484,0.06564383561643836,random_slot_throttle,0.988216509890618,False,False,,,False
wiki2018,4.0,80617,precision_only_budget_matched_uniform_cap020,0.5867395555555556,0.00014244444444444504,137687.0,904.0,1.0066090084294101,15.298555555555556,0.47938633641966294,0.6847562578496947,0.0657840932324678,uniform,0.988216509890618,False,False,,,False
wiki2018,4.0,80617,precision_only_budget_replay_cap020,0.5865971111111111,0.0,136783.0,0.0,1.0,15.19811111111111,0.48236599923554146,0.6834259504278027,0.06605951015847814,slot_replay,0.988216509890618,True,False,1.0,0.0,True
wiki2018,4.0,80617,precision_only_budget_replay_permuted_cap020,0.5514505555555556,-0.03514655555555557,136783.0,0.0,1.0,15.19811111111111,0.4973565593358677,0.6808017823922586,0.06564850695235924,slot_replay_permuted,0.988216509890618,True,True,1.0,0.0,True
wiki2018,4.0,80617,precision_only_cap020,0.5868207777777777,0.00022366666666662205,138414.0,1631.0,1.0119239964030617,15.379333333333333,0.47744325404031235,0.6854185581986563,0.0655311421826766,off,1.0,,,,,
wiki2018,5.0,100772,full_cap020,0.605007,0.0,152591.0,0.0,1.0,16.954555555555554,0.43387891077636154,0.7102799431159802,0.058668229221531656,off,1.0,,,,,
wiki2018,5.0,100772,precision_only_budget_matched_permuted_quality_cap020,0.605023,1.6000000000016e-05,152464.0,-127.0,0.9991677097600776,16.940444444444445,0.43382028320846594,0.7100243145472157,0.05861848564519211,off,1.0,,,,,
wiki2018,5.0,100772,precision_only_budget_matched_random_cap020,0.6048836666666667,-0.00012333333333325314,150242.0,-2349.0,0.9846059072946635,16.693555555555555,0.43848761861454205,0.7081630878901156,0.05937581500478136,random_slot_throttle,1.0156347758948896,False,False,,,False
wiki2018,5.0,100772,precision_only_budget_matched_uniform_cap020,0.6050935555555556,8.655555555558969e-05,151333.0,-1258.0,0.9917557391982489,16.814777777777778,0.4357432118435903,0.70938060147381,0.05897231627165903,uniform,1.0156347758948896,False,False,,,False
wiki2018,5.0,100772,precision_only_budget_replay_cap020,0.605007,0.0,152591.0,0.0,1.0,16.954555555555554,0.43387891077636154,0.7102799431159802,0.058668229221531656,slot_replay,1.0156347758948896,True,False,1.0,0.0,True
